"id","name","code","report_type","close_method"
"account_type_current_assets","Oběžna aktiva","Oběžna aktiva","asset","Balance"
"account_type_current_liabilities","Cizí kapitál","Cizí kapitál","liability","Balance"
"account_type_equity","Vlastní kapitál","Vlastní kapitál","liability","Balance"
"account_type_expense","Náklady","Náklady","expense","None"
"account_type_fixed_assets","Stálá aktiva","Stálá aktiva","asset","Balance"
"account_type_income","Výnosy","Výnosy","income","None"
"account_type_payable","Závazky","Závazky","liability","Unreconciled"
"account_type_receivable","Pohledávky","Pohledávky","asset","Unreconciled"
"account_type_output_tax","Daň na výstupu","Daň na výstupu","liability","Unreconciled"
"account_type_input_tax","Daň na vstupu","Daň na vstupu","asset","Unreconciled"
"account_type_profit_and_loss","Zisk a ztráta","Zisk a ztráta","liability","None"
"account_type_view","Náhled","Náhled","none","None"
"account_type_other","Závěrkový","Závěrkový","none","Balance"
