"id","name","code","parent_id:id","notprintable","sign"
"DS0","Daňová struktura","DS",,"FALSE",1
"ZP","I. Zdanitelná plnění","I.","DS0","FALSE",1
"U01ZZ","Dodání zboží nebo poskytnutí služby (tuzemsko) – ZS/ZD","1ZD","ZP","FALSE",1
"U01ZD","Dodání zboží nebo poskytnutí služby (tuzemsko) – ZS/D","1D","ZP","FALSE",1
"U01SZ","Dodání zboží nebo poskytnutí služby (tuzemsko) – SS/ZD","2ZD","ZP","FALSE",1
"U01SD","Dodání zboží nebo poskytnutí služby (tuzemsko) – SS/D","2D","ZP","FALSE",1
"D01ZZ","Pořízení zboží z jiného členského státu – ZS/ZD","3ZD","ZP","FALSE",1
"D01ZD","Pořízení zboží z jiného členského státu – ZS/D","3D","ZP","FALSE",1
"D01SZ","Pořízení zboží z jiného členského státu – SS/ZD","4ZD","ZP","FALSE",1
"D01SD","Pořízení zboží z jiného členského státu – SS/D","4D","ZP","FALSE",1
"D02ZZ","Přijetí služby od osoby reg. k dani v jiném členském státě – ZS/ZD","5ZD","ZP","FALSE",1
"D02ZD","Přijetí služby od osoby reg. k dani v jiném členském státě – ZS/D","5D","ZP","FALSE",1
"D02SZ","Přijetí služby od osoby reg. k dani v jiném členském státě – SS/ZD","6ZD","ZP","FALSE",1
"D02SD","Přijetí služby od osoby reg. k dani v jiném členském státě – SS/D","6D","ZP","FALSE",1
"D05ZZ","Dovoz zboží – ZS/ZD","7ZD","ZP","FALSE",1
"D05ZD","Dovoz zboží – ZS/D","7D","ZP","FALSE",1
"D05SZ","Dovoz zboží – SS/ZD","8ZD","ZP","FALSE",1
"D05SD","Dovoz zboží – SS/D","8D","ZP","FALSE",1
"D04ZZ","Pořízení nového dopravního prostředku – ZS/ZD","9ZD","ZP","FALSE",1
"D04ZD","Pořízení nového dopravního prostředku – ZS/D","9D","ZP","FALSE",1
"D10ZZ","Přenesení daňové povinnosti – odběratel zboží/příjemce služeb – ZS/ZD","10ZD","ZP","FALSE",1
